C1,Room,Pointname,Acronym,Point
Point List,,,,
Location:,Cornell University / Biotech Server / Biotech,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Biotech/Biotech Building Performance/Airflow Performance,,,,
,"Biotech ACS-1, 2, and 3 Performance",,,
,,Min Zone Exhaust Airflow #2,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_2
,,Min Zone Exhaust Airflow #3,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_3
,,Min Zone Exhaust Airflow #4,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_4
,,Min Zone Exhaust Airflow #5,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_5
,,Min Zone Exhaust Airflow #6,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_6
,,Min Zone Exhaust Airflow #7,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_7
,,Min Zone Exhaust Airflow #8,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_8
,,Min Zone Exhaust Airflow #9,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_9
,,Min Zone Exhaust Airflow #10,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_10
,,Min Zone Exhaust Airflow #11,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_11
,,Min Zone Exhaust Airflow #12,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_12
,,Min Zone Exhaust Airflow #13,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_13
,,Min Zone Exhaust Airflow #14,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_14
,,Min Zone Supply Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_1
,,Min Zone Supply Airflow #2,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_2
,,Min Zone Supply Airflow #3,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_3
,,Min Zone Supply Airflow #4,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_4
,,Min Zone Supply Airflow #5,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_5
,,Min Zone Supply Airflow #6,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_6
,,Min Zone Supply Airflow #7,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_7
,,Min Zone Supply Airflow #8,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_8
,,Min Zone Supply Airflow #9,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_9
,,Min Zone Supply Airflow #10,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_10
,,Min Zone Supply Airflow #11,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_11
,,Min Zone Supply Airflow #12,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_12
,,Min Zone Supply Airflow #13,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_13
,,Min Zone Supply Airflow #14,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_sflow_14
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_active_1
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_active_2
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_active_3
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_active_4
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_active_5
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_active_6
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_active_7
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_active_8
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_count_1
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_count_2
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_count_3
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_count_4
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_count_5
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_count_6
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_count_7
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_schedule_count_8
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_active_1
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_active_2
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_active_3
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_active_4
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_active_5
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_active_6
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_active_7
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_active_8
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_count_1
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_count_2
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_count_3
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_count_4
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_count_5
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_count_6
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_non-lab_setback_count_7
